"Year";"Type";"M01";"M02";"M04";"M05";"M07";"M08";"M09";"M12";"M13";"M14";"M18";"M19";"M20";"M25";"M26";"Obs"
2012;7;0;NA;NA;NA;NA;NA;0;0;NA;NA;0;0;0;0;NA;0
2012;7;0;NA;NA;NA;NA;NA;0;0;NA;NA;0;0;0;0;NA;0
2012;7;0;NA;NA;NA;NA;NA;0;0;NA;NA;0;0;0;0;NA;0
2012;7;0;NA;NA;NA;NA;NA;0;0;NA;NA;0;0;0;0;NA;0
2012;7;0;NA;NA;NA;NA;NA;0;0;NA;NA;0;0;0;0;NA;0
2012;7;0;NA;NA;NA;NA;NA;0;0;NA;NA;0;0;0;0;NA;0
2012;7;0;NA;NA;NA;NA;NA;0;0;NA;NA;0;0;0;0;NA;0
2012;7;0;NA;NA;NA;NA;NA;0;0;NA;NA;0;0;0;0;NA;0
2012;7;0;NA;NA;NA;NA;NA;0;0;NA;NA;0;0;0;0;NA;0
2012;7;0;NA;NA;NA;NA;NA;0;0;NA;NA;0;0;0;0;NA;0
2012;7;0;NA;NA;NA;NA;NA;0;0;NA;NA;0;0;0;0;NA;0
2012;7;0;NA;NA;NA;NA;NA;0;0;NA;NA;0;0;0;0;NA;0
2012;7;0;NA;NA;NA;NA;NA;0;0;NA;NA;0;0;0;0;NA;0
2012;7;0;NA;NA;NA;NA;NA;0;0;NA;NA;0;0;0;0;NA;0
2012;7;0;NA;NA;NA;NA;NA;0;0;NA;NA;0;0;0;0;NA;0
2012;7;0;NA;NA;NA;NA;NA;0;0;NA;NA;0;0;0;0;NA;0
2012;7;0;NA;NA;NA;NA;NA;0;0;NA;NA;0;0;0;0;NA;0
2012;7;0;NA;NA;NA;NA;NA;0;0;NA;NA;0;0;0;0;NA;0
2012;7;0;NA;NA;NA;NA;NA;0;0;NA;NA;0;0;0;0;NA;0
2012;7;0;NA;NA;NA;NA;NA;0;0;NA;NA;0;0;0;0;NA;0
2012;7;0;NA;NA;NA;NA;NA;0;0;NA;NA;0;0;0;0;NA;0
2012;7;0;NA;NA;NA;NA;NA;0;0;NA;NA;0;0;0;0;NA;0
2012;7;0;NA;NA;NA;NA;NA;0;0;NA;NA;0;0;0;0;NA;0
2012;7;0;NA;NA;NA;NA;NA;0;0;NA;NA;0;0;0;0;NA;0
2012;7;0;NA;NA;NA;NA;NA;0;0;NA;NA;0;0;0;0;NA;0
2012;7;0;NA;NA;NA;NA;NA;0;0;NA;NA;0;0;0;0;NA;0
2012;7;0;NA;NA;NA;NA;NA;0;0;NA;NA;0;0;0;0;NA;0
2012;7;0;NA;NA;NA;NA;NA;0;0;NA;NA;0;0;0;0;NA;0
2012;7;0;NA;NA;NA;NA;NA;0;0;NA;NA;0;0;0;0;NA;0
2012;7;0;NA;NA;NA;NA;NA;0;0;NA;NA;0;0;0;0;NA;0
2012;7;0;NA;NA;NA;NA;NA;0;0;NA;NA;0;0;0;0;NA;0
2012;7;0;NA;NA;NA;NA;NA;0;0;NA;NA;0;0;0;0;NA;0
2012;7;0;NA;NA;NA;NA;NA;0;0;NA;NA;0;0;0;0;NA;0
2012;7;0;NA;NA;NA;NA;NA;0;0;NA;NA;0;0;0;0;NA;0
2012;7;0;NA;NA;NA;NA;NA;0;0;NA;NA;0;0;0;0;NA;0
2012;7;0;NA;NA;NA;NA;NA;0;0;NA;NA;0;0;0;0;NA;0
2012;7;0;NA;NA;NA;NA;NA;0;0;NA;NA;0;0;0;0;NA;0
2012;7;0;NA;NA;NA;NA;NA;0;0;NA;NA;0;0;0;0;NA;0
2012;7;0;NA;NA;NA;NA;NA;0;0;NA;NA;0;0;0;0;NA;0
2012;7;0;NA;NA;NA;NA;NA;0;0;NA;NA;0;0;0;0;NA;0
2012;7;0;NA;NA;NA;NA;NA;0;0;NA;NA;0;0;0;0;NA;0
2012;7;0;NA;NA;NA;NA;NA;0;0;NA;NA;0;0;0;0;NA;0
2012;7;0;NA;NA;NA;NA;NA;NA;0;NA;NA;0;0;0;0;NA;0
